,SNo.,Subject,Credit,Core/Elective
0,1,COMPUTER ORGANISATION AND ARCHITECTURE LAB(15B17CI373),1,Core
1,2,INFORMATION SECURITY LAB(15B17CI576),1,Core
2,3,OPEN SOURCE SOFTWARE LAB(15B17CI575),1,Core
3,4,OPERATING SYSTEMS AND SYSTEMS PROGRAMMING LAB(15B17CI472),1,Core
4,5,MINOR PROJECT-1(15B19CI591),2,Core
5,6,INDIAN CONSTITUTION & TRADITIONAL KNOWLEDGE(20B13HS311),3,Core
6,7,COMPUTER ORGANISATION AND ARCHITECTURE(15B11CI313),4,Core
7,8,OPERATING SYSTEMS AND SYSTEMS PROGRAMMING(15B11CI412),4,Core
8,9,BASIC NUMERICAL METHODS(17B1NMA531),3,Elective
9,10,FUNDAMENTALS OF MACHINE LEARNING(20B12CS331),3,Elective
10,11,TECHNOLOGY AND CULTURE(17B1NHS531),3,Elective
